qid1,qid2,label,wid1,cid1,wid2,cid2
S107641,S103854,0,W105587 W101644 W102193 W106548 W104416,C101295 C101168 C100955 C101340 C102226 C100886 C102216 C101350,W105587 W101644 W102193 W104454,C101295 C101168 C100955 C101340 C102226 C101205 C100993 C100491
S116557,S103854,1,W102323 W105604 W105587 W103641 W108280 W104299 W100323 W105837 W105754 W107011 W107660 W105604,C101176 C101173 C102153 C101295 C101168 C101263 C102278 C100586 C100993 C100491 C101263 C102195 C100596 C102296 C100577 C101468 C100114 C100637 C102153,W105587 W101644 W102193 W104454,C101295 C101168 C100955 C101340 C102226 C101205 C100993 C100491
S103127,S110857,1,W106907 W107170 W100323 W101855 W104806,C101836 C102106 C100291 C101643 C100114 C101263 C101602 C100099 C100882 C100915,W108463 W103461 W100735 W103461,C100291 C101643 C100114 C100637 C100099 C100615 C101017 C100099 C100615
S103452,S110857,1,W108463 W102027 W104242 W103461,C100291 C101643 C100114 C100637 C100050 C101061 C100050 C101021 C100099 C100615,W108463 W103461 W100735 W103461,C100291 C101643 C100114 C100637 C100099 C100615 C101017 C100099 C100615
S120534,S135254,1,W108463 W108376 W101396 W107941 W104416 W106503,C100291 C101643 C100114 C100637 C101585 C101200 C101705 C101092 C102019 C101350 C102239,W102817 W103791 W107170 W103190 W104668 W105604 W101396 W106760 W105108 W101351 W104456 W104364 W101396 W105311,C102244 C100269 C101836 C101968 C100291 C101643 C100114 C101011 C101540 C102153 C101705 C100500 C101978 C100233 C100479 C101277 C102153 C101705 C100063
S117778,S135254,0,W108463 W106422 W101441 W102214,C100291 C101643 C100114 C100637 C101468 C101164 C101318 C100066 C101888 C101082,W102817 W103791 W107170 W103190 W104668 W105604 W101396 W106760 W105108 W101351 W104456 W104364 W101396 W105311,C102244 C100269 C101836 C101968 C100291 C101643 C100114 C101011 C101540 C102153 C101705 C100500 C101978 C100233 C100479 C101277 C102153 C101705 C100063
S102044,S106012,0,W100914 W102600 W104740 W106503 W102627 W100521 W106441 W105864,C100376 C101061 C101618 C100376 C101061 C100012 C101642 C101318 C100887 C102239 C101061 C101618 C101865 C101324 C100890 C100310,W100914 W108376 W101478 W100533 W109637 W104806 W104416,C100376 C101061 C101618 C101585 C101200 C101613 C101865 C101618 C100708 C100882 C100915 C101350
S124625,S106012,0,W103658 W101478 W109017 W107776 W100805 W106320 W100533 W104416,C100376 C101061 C101618 C100114 C101613 C102095 C100109 C101360 C100056 C100763 C102208 C100589 C101865 C101618 C101350,W100914 W108376 W101478 W100533 W109637 W104806 W104416,C100376 C101061 C101618 C101585 C101200 C101613 C101865 C101618 C100708 C100882 C100915 C101350
S134333,S109235,0,W107170 W102193 W102254 W109339 W101995 W104416,C100291 C101643 C100114 C102226 C101449 C100599 C100640 C100189 C100898 C101314 C100764 C101350,W107170 W102193 W102254 W109474 W106089 W104416 W106503,C100291 C101643 C100114 C102226 C101449 C100599 C100640 C101690 C101613 C100404 C102194 C101380 C101350 C102239
S102122,S109235,1,W108463 W103948 W105763 W106089,C100291 C101643 C100114 C100637 C101176 C101357 C101837 C100817 C100404 C102194 C101380,W107170 W102193 W102254 W109474 W106089 W104416 W106503,C100291 C101643 C100114 C102226 C101449 C100599 C100640 C101690 C101613 C100404 C102194 C101380 C101350 C102239
