qid1,qid2,label,wid1,cid1,wid2,cid2
S110811,S127120,0,W105347 W100323 W107503 W108280 W109120,C100494 C100743 C102058 C100376 C101061 C101618 C101263 C100147 C101759 C100586 C100541 C100096,W100914 W100323 W109083 W108280 W109120,C100376 C101061 C101618 C101263 C101553 C100613 C100586 C100541 C100096
S116880,S117544,0,W104664 W100914 W103546 W107395,C101466 C101234 C102058 C100376 C101061 C101618 C101642 C101318 C100882,W100914 W103734 W105739 W103734 W106124 W108553 W103948 W104806 W106503,C100376 C101061 C101618 C100148 C101608 C101295 C100114 C100148 C101802 C101265 C100339 C100480 C101629 C101176 C101357 C100882 C100915 C102239
S129948,S119758,1,W100671 W103948 W104806 W100971 W101101,C100290 C102058 C100376 C101061 C101618 C101176 C101357 C100882 C100915 C100252 C101613 C100087,W102077 W103948 W104806 W102022 W101351,C100376 C101061 C101618 C100290 C100114 C101176 C101357 C100882 C100915 C101033 C101173 C100233
S108244,S119758,0,W100092 W104416 W103674 W104109 W104364 W106177 W101146 W102022 W101351,C102226 C100882 C101350 C101006 C102139 C102223 C100233 C101277 C102153 C100473 C102139 C102223 C101033 C101173 C100233,W102077 W103948 W104806 W102022 W101351,C100376 C101061 C101618 C100290 C100114 C101176 C101357 C100882 C100915 C101033 C101173 C100233
S119716,S111492,1,W103059 W105754 W102349 W105878 W105754 W106110 W103875 W105754 W104740,C100339 C101295 C100114 C102296 C102134 C100678 C102137 C101037 C102296 C100988 C100586 C102208 C100964 C102296 C101642 C101318 C100887,W101301 W105373 W106315 W105385 W103161 W100298 W104416,C100339 C101021 C100964 C101833 C101975 C100777 C100988 C100890 C102077 C100964 C101350
S110797,S128194,0,W107170 W105373 W104770 W109132 W104416,C100291 C101643 C100114 C101833 C100518 C100467 C101100 C100779 C100635 C101350,W107170 W108553 W102193 W107655 W101396 W108520 W104416 W106503,C100291 C101643 C100114 C100480 C101629 C102226 C100680 C100393 C101705 C100858 C101967 C101350 C102239
S121738,S128194,1,W101396 W108520 W102193 W107699 W104416 W106503,C101705 C100858 C101967 C102226 C101865 C101061 C100291 C101350 C102239,W107170 W108553 W102193 W107655 W101396 W108520 W104416 W106503,C100291 C101643 C100114 C100480 C101629 C102226 C100680 C100393 C101705 C100858 C101967 C101350 C102239
S127464,S128194,1,W107170 W101396 W100794 W108376 W104416,C100291 C101643 C100114 C101705 C100638 C101967 C101585 C101200 C101350,W107170 W108553 W102193 W107655 W101396 W108520 W104416 W106503,C100291 C101643 C100114 C100480 C101629 C102226 C100680 C100393 C101705 C100858 C101967 C101350 C102239
S110797,S105135,0,W107170 W105373 W104770 W109132 W104416,C100291 C101643 C100114 C101833 C100518 C100467 C101100 C100779 C100635 C101350,W107170 W105373 W104770 W107304 W104416,C100291 C101643 C100114 C101833 C100518 C100467 C101061 C100064 C101350
S103773,S124244,0,W101301 W101644 W109194 W100111 W104416 W106503,C100339 C101021 C100964 C100955 C101340 C100766 C101399 C100487 C102002 C101350 C102239,W101301 W102559 W104416 W106503,C100339 C101021 C100964 C101446 C101953 C101350 C102239
S117705,S124244,1,W101301 W102559 W104416 W100968,C100339 C101021 C100964 C101446 C101953 C101350 C101635,W101301 W102559 W104416 W106503,C100339 C101021 C100964 C101446 C101953 C101350 C102239
S103773,S119283,1,W101301 W101644 W109194 W100111 W104416 W106503,C100339 C101021 C100964 C100955 C101340 C100766 C101399 C100487 C102002 C101350 C102239,W103059 W101644 W103546 W107395 W104156,C100339 C101295 C100114 C100955 C101340 C101642 C101318 C100882 C101424
S122980,S101761,0,W107170 W106315 W108489 W104740,C100291 C101643 C100114 C101975 C100777 C101100 C101780 C101642 C101318 C100887,W107170 W108376 W106015 W104416,C100291 C101643 C100114 C101585 C101200 C100313 C100591 C101477 C101350
S117685,S113326,1,W103343 W109533 W103937 W108280 W100587 W104416,C101303 C101505 C101340 C100291 C101643 C100114 C100340 C100848 C100865 C100586 C101343 C101549 C101350,W108280 W101851 W105754 W107154 W108904 W109019 W102764 W103558 W104995 W103311 W108285,C100586 C101303 C101505 C100291 C101643 C100114 C102296 C101615 C100020 C100693 C100747 C100898 C100969 C100475 C101685 C100903 C100903 C101324 C101642 C101318 C101870
S117685,S135054,0,W103343 W109533 W103937 W108280 W100587 W104416,C101303 C101505 C101340 C100291 C101643 C100114 C100340 C100848 C100865 C100586 C101343 C101549 C101350,W106177 W104806 W107170 W104806 W104446 W104975,C100473 C102139 C100882 C100915 C100291 C101643 C100114 C100882 C100915 C101615 C101841 C101917 C101496
S123179,S104234,1,W108594 W101405 W107498 W100291 W100404 W109194 W108008 W108581 W100822 W100806 W102193,C102125 C101985 C101061 C102119 C100313 C100537 C100591 C101477 C100766 C101399 C100909 C100344 C100919 C101981 C101705 C100096 C101164 C101318 C102226,W108594 W108553 W101803 W108497 W101396 W100806 W106503,C102125 C101985 C101061 C100480 C101629 C102253 C101192 C101340 C102085 C102180 C101705 C101164 C101318 C102239
S122936,S123217,1,W101631 W107170 W101950 W109391 W104416 W106503,C101695 C101405 C100291 C101643 C100114 C100882 C100915 C100708 C100586 C101033 C101350 C102239,W102817 W101631 W107170 W101950 W108280 W103871 W104416 W106503,C102244 C100269 C101695 C101405 C100291 C101643 C100114 C100882 C100915 C100708 C100586 C100915 C101033 C101350 C102239
S122936,S119125,0,W101631 W107170 W101950 W109391 W104416 W106503,C101695 C101405 C100291 C101643 C100114 C100882 C100915 C100708 C100586 C101033 C101350 C102239,W107170 W108376 W101273 W104806 W104416 W106503,C100291 C101643 C100114 C101585 C101200 C100473 C100087 C100882 C100915 C101350 C102239
S101263,S119125,1,W106177 W102193 W106368 W107170 W104416 W106503,C100473 C102139 C102226 C100572 C100882 C100291 C101643 C100114 C101350 C102239,W107170 W108376 W101273 W104806 W104416 W106503,C100291 C101643 C100114 C101585 C101200 C100473 C100087 C100882 C100915 C101350 C102239
S111318,S117783,0,W104777 W108553 W100629 W109453 W100914 W103546 W104806 W106503,C102037 C100214 C100480 C101629 C101277 C100480 C100586 C100376 C101061 C101618 C101642 C101318 C100882 C100915 C102239,W101036 W108820 W108280 W100914 W103546 W104806,C102037 C102220 C102180 C100691 C100586 C100376 C101061 C101618 C101642 C101318 C100882 C100915
S116036,S117783,1,W108280 W100914 W100591 W108280 W101036 W108376 W101396 W100806 W106503,C100586 C100376 C101061 C101618 C101130 C100586 C102037 C102220 C101585 C101200 C101705 C101164 C101318 C102239,W101036 W108820 W108280 W100914 W103546 W104806,C102037 C102220 C102180 C100691 C100586 C100376 C101061 C101618 C101642 C101318 C100882 C100915
S122505,S121572,1,W106524 W102437 W109459 W106264 W108151 W104550 W100328 W101752 W100806 W107835,C102191 C100332 C100249 C101579 C100766 C100800 C102221 C102242 C101020 C100707 C100719 C101088 C101020 C102220 C100719 C101164 C101318 C102210 C101353,W106889 W104781 W103794 W105754 W106264 W101898 W109130 W100328 W104550 W100323 W108598 W105754 W100806 W107835,C100266 C101649 C101782 C101703 C101061 C102296 C100800 C102221 C102149 C100266 C101088 C101020 C100707 C100719 C101263 C100889 C100394 C102296 C101164 C101318 C102210 C101353
S125274,S121572,0,W107202 W104989 W104515 W100323 W105588 W105204 W100091 W106264 W105754 W104989 W104423 W100806 W107363 W105204,C100592 C100499 C100379 C100463 C100263 C100952 C101843 C101263 C101791 C100678 C101541 C100332 C100800 C102221 C102296 C100263 C100952 C101843 C101649 C101164 C101318 C100599 C101440 C101541,W106889 W104781 W103794 W105754 W106264 W101898 W109130 W100328 W104550 W100323 W108598 W105754 W100806 W107835,C100266 C101649 C101782 C101703 C101061 C102296 C100800 C102221 C102149 C100266 C101088 C101020 C100707 C100719 C101263 C100889 C100394 C102296 C101164 C101318 C102210 C101353
S123777,S125856,0,W103163 W100323 W107170 W107913 W103765 W105204 W106089,C101867 C101263 C100291 C101643 C100114 C102153 C100381 C101399 C101541 C100404 C102194 C101380,W107170 W107913 W102193 W101447,C100291 C101643 C100114 C102153 C100381 C102226 C101466 C101234
S106034,S125856,0,W107170 W107913 W102193 W100601,C100291 C101643 C100114 C102153 C100381 C102226 C100589 C100303 C101090,W107170 W107913 W102193 W101447,C100291 C101643 C100114 C102153 C100381 C102226 C101466 C101234
S115966,S134549,1,W105763 W103336 W103765 W104309,C101837 C100817 C100800 C102221 C100379 C100463 C101399 C100993 C101719 C101562,W104944 W103336 W104309,C100762 C100555 C100800 C102221 C100379 C100463 C100993 C101719 C101562
S126798,S130962,0,W103136 W105754 W103658 W106371 W103409 W100323 W102457 W105754 W103524 W102193 W101396 W104416,C101734 C100233 C102296 C100376 C101061 C101618 C100114 C100555 C101096 C100820 C100250 C101263 C102264 C102296 C100785 C102226 C101705 C101350,W108524 W103136 W100914 W102193 W101396 W104416 W105501 W108067,C102139 C101317 C101734 C100233 C100376 C101061 C101618 C102226 C101705 C101350 C100367 C100921 C101171
S127390,S130962,1,W100914 W108376 W101396 W105501 W104416,C100376 C101061 C101618 C101585 C101200 C101705 C100367 C100921 C101350,W108524 W103136 W100914 W102193 W101396 W104416 W105501 W108067,C102139 C101317 C101734 C100233 C100376 C101061 C101618 C102226 C101705 C101350 C100367 C100921 C101171
S110282,S113760,1,W106264 W106455 W103463 W107744 W100806 W107835 W102901,C100800 C102221 C101940 C101699 C101574 C100652 C101970 C100646 C101164 C101318 C102210 C101353 C102221 C100029,W104516 W108643 W102844 W108643 W105604 W100806 W107835,C101543 C100564 C100017 C100951 C100564 C100646 C102058 C101543 C100564 C100629 C100951 C100564 C100646 C102058 C102153 C101164 C101318 C102210 C101353
S108861,S120641,1,W107037 W109533 W107170 W108280 W102639 W104416,C100645 C101674 C100340 C100291 C101643 C100114 C100586 C100233 C101539 C101350,W108463 W108376 W101396 W105690 W108235,C100291 C101643 C100114 C100637 C101585 C101200 C101705 C101197 C101317 C101084
S123310,S113420,1,W102230 W103336 W106895 W104515 W108376 W104171 W104299 W100470 W101478,C100170 C100865 C100800 C102221 C100379 C100463 C100263 C102242 C101843 C101585 C101200 C100723 C101670 C100993 C100491 C101277 C100586 C101613,W107312 W105204 W104989 W104515 W103336 W108581 W109148 W100004,C101841 C101317 C100865 C101541 C100263 C100952 C101843 C100800 C102221 C100379 C100463 C100919 C101981 C102266 C100993 C101449 C100599 C100640
S117396,S113420,1,W107312 W103336 W104989 W104515 W104171 W107614 W106000 W108280 W100806 W106639,C101841 C101317 C100865 C100800 C102221 C100379 C100463 C100263 C100952 C101843 C100723 C101670 C101574 C101970 C100898 C101541 C101833 C100586 C101164 C101318 C100269 C101264,W107312 W105204 W104989 W104515 W103336 W108581 W109148 W100004,C101841 C101317 C100865 C101541 C100263 C100952 C101843 C100800 C102221 C100379 C100463 C100919 C101981 C102266 C100993 C101449 C100599 C100640
S102794,S113420,0,W105204 W100091 W107764 W104515 W103336 W100004 W108376 W109592 W107948,C101541 C100332 C100263 C102174 C101843 C100800 C102221 C100379 C100463 C100993 C101449 C100599 C100640 C101585 C101200 C100534 C101023 C102163,W107312 W105204 W104989 W104515 W103336 W108581 W109148 W100004,C101841 C101317 C100865 C101541 C100263 C100952 C101843 C100800 C102221 C100379 C100463 C100919 C101981 C102266 C100993 C101449 C100599 C100640
S123310,S109713,0,W102230 W103336 W106895 W104515 W108376 W104171 W104299 W100470 W101478,C100170 C100865 C100800 C102221 C100379 C100463 C100263 C102242 C101843 C101585 C101200 C100723 C101670 C100993 C100491 C101277 C100586 C101613,W103336 W100323 W108598 W108376 W103186 W104299,C100800 C102221 C100379 C100463 C101263 C100889 C100394 C101585 C101200 C101178 C101430 C100993 C100491
S129852,S118134,1,W108594 W107660 W108376 W101396 W100806 W106503 W105691 W101396 W100806 W106503,C102125 C101985 C101061 C100114 C100637 C101585 C101200 C101705 C101164 C101318 C102239 C101324 C102226 C101705 C101164 C101318 C102239,W108594 W101396 W100806 W108002 W106503,C102125 C101985 C101061 C101705 C101164 C101318 C100050 C100087 C102239
S129852,S116785,0,W108594 W107660 W108376 W101396 W100806 W106503 W105691 W101396 W100806 W106503,C102125 C101985 C101061 C100114 C100637 C101585 C101200 C101705 C101164 C101318 C102239 C101324 C102226 C101705 C101164 C101318 C102239,W108594 W107660 W105691 W101396 W100806,C102125 C101985 C101061 C100114 C100637 C101324 C102226 C101705 C101164 C101318
